track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
I'm your friend,0.858,0.619,0.34,0.645,0.109,-12.402,0.168,0.605,79.986
Spiritual purity,0.806,0.531,0.24,0.912,0.113,-16.28,0.0585,0.253,130.09
Virtual reality,0.979,0.633,0.00997,0.867,0.0834,-29.777,0.128,0.153,74.991
Blue sky,0.924,0.679,0.181,0.912,0.0912,-19.043,0.0371,0.22,74.989
Inner peace,0.947,0.631,0.112,0.935,0.0797,-16.588,0.0364,0.121,150.084
Me and my guitar,0.916,0.562,0.0461,0.911,0.114,-27.762,0.138,0.0856,94.397
Dreams to fulfill,0.909,0.721,0.319,0.872,0.155,-10.994,0.0441,0.367,88.008
Lofi soft piano,0.554,0.331,0.28,0.838,0.109,-20.443,0.0517,0.0375,78.975
Beat Hip Hop Lofi,0.767,0.715,0.358,0.925,0.14,-13.358,0.0863,0.546,180.014
Gently,0.941,0.74,0.0978,0.956,0.0868,-25.522,0.0305,0.228,105.069
Lo-Fi cassette,0.00154,0.952,0.244,0.916,0.0841,-22.902,0.0477,0.602,126.012
Enlightened,0.727,0.46,0.737,0.921,0.102,-9.89,0.414,0.178,75.058
My Old Song,0.807,0.787,0.162,0.849,0.107,-20.703,0.0522,0.674,91.032
uuuuh Lo-fi Beat,0.93,0.73,0.0451,0.631,0.0971,-26.495,0.0334,0.228,75
Freedom,0.818,0.465,0.408,0.904,0.224,-12.648,0.032,0.0964,95.105
My piano,0.924,0.764,0.0951,0.928,0.0923,-23.569,0.274,0.459,180.053
Beat to relax,0.965,0.383,0.206,0.938,0.105,-16.296,0.0301,0.125,94.987
Hip hop Lo-Fi,0.532,0.803,0.414,0.898,0.137,-8.003,0.0475,0.361,96.963
Looking for signal,0.92,0.761,0.388,0.932,0.098,-9.455,0.0322,0.261,123.015
Lo-fi emissions,0.491,0.818,0.231,0.838,0.138,-16.677,0.543,0.147,168.204
total serenity,0.771,0.777,0.301,0.915,0.132,-17.601,0.355,0.1,159.99
Hard Hip Hop,0.471,0.899,0.433,0.692,0.104,-9.162,0.339,0.202,86.98
Lofi piano,0.692,0.718,0.388,0.191,0.141,-9.906,0.0658,0.912,162.07
lighted night,0.0511,0.927,0.397,0.254,0.126,-10.118,0.302,0.334,140.036
Romantic beat,0.155,0.507,0.565,0.867,0.211,-9.845,0.109,0.124,93.83
lofi piano rolls,0.85,0.77,0.255,0.901,0.147,-16.589,0.259,0.618,90.017
melodic tapes,0.418,0.756,0.0295,0.324,0.0801,-25.502,0.131,0.501,172.128
sailing my fantasy world,0.609,0.705,0.232,0.928,0.128,-15.116,0.0322,0.241,140.009
calm and relaxed,0.937,0.687,0.0996,0.919,0.138,-21.747,0.0761,0.198,79.95
Cute Nature,0.683,0.596,0.2,0.715,0.0874,-16.955,0.0414,0.254,176.027
peace inside me,0.84,0.601,0.124,0.904,0.122,-23.185,0.135,0.159,80.923
Soothing sounds,0.971,0.446,0.0883,0.949,0.111,-21.82,0.133,0.26,72.795
Guitar strings,0.932,0.444,0.302,0.849,0.889,-13.061,0.0366,0.146,140.443
Waking Up By the Shore,0.393,0.652,0.513,0.724,0.106,-11.219,0.162,0.275,88.128
